R,G,B
0.7099143811735598,0.5374619758221455,0.4302950373016223
0.5162191688344223,0.4425558513272301,0.4213831806302835
0.5779197010213124,0.5279743749886544,0.49646600006870206
0.35157341773948275,0.2582375780948193,0.19663679305348963
0.6385004780182484,0.6276082312112237,0.5948575141839227
0.64669237656924,0.5674296767465112,0.5016265757926713
0.6759066682027851,0.6008174819252462,0.5596879036121152
0.3770754379475552,0.33118305976138207,0.31263605328739064
0.4815020080808658,0.3846751194035335,0.3010597249930108
0.3873889087641884,0.3157422622692931,0.29994431542331934
0.5075337897245771,0.4108540457725148,0.4537354143801252
0.33639932006205037,0.24629217525586755,0.21098532393064676
0.4776450173926476,0.4447832343946618,0.40390054795238656
0.5246630123031695,0.3834293412241753,0.25772186412962383
0.6590852772404916,0.6339644588893864,0.6310907911252839
0.2940027407726173,0.21513175314450617,0.15409670723253197
0.6610388862275857,0.6001885797097883,0.5865929528186417
0.6551809900333974,0.6090630438341084,0.5830356078107704
0.7304029703830852,0.6418474141537837,0.502062249495197
0.29947812131752927,0.2464508409280889,0.22464542769998444
0.5254630106861735,0.4604707216357131,0.503595546042431
0.5705950063769252,0.48420468073844053,0.3931282604785537
0.5324418748016619,0.4545275300100603,0.5528521417844612
0.7789995371409291,0.5562971070296082,0.36531457238086257
0.44834401547445246,0.3944388187189129,0.27969291623464554
0.5385777896355344,0.4613361064454976,0.43266845342398547
0.32801469830280233,0.25305143395360646,0.20453531170226233
0.7401428193171938,0.574574786104474,0.5119318606733305
0.759230602868902,0.6266794811935735,0.5537211647879406
0.3558394020425992,0.23932432678253124,0.14951207779267614
0.5031703826773624,0.42393678840468185,0.3577070081717873
0.3690910175017205,0.4544478939911162,0.5902916820785237
0.5086911395833381,0.4149069936190062,0.33196223959120497
0.3866239785265658,0.29951187567080284,0.2334186287647747
0.3839748681660246,0.38045956450820123,0.3257801399087647
0.5414963284561334,0.46875933550412524,0.40943373535373456
0.3673324561243756,0.34644144226086926,0.2227105149863211
0.7257439600930008,0.6912013315789315,0.6625988628622757
0.4690619119516595,0.37995527042895016,0.35725455835361575
0.535210742373442,0.4407663653029543,0.33179286145960835
0.5803258608875947,0.41247385048236057,0.32068535485529076
0.4706394731895292,0.33185471075348494,0.2643700568568688
0.5411134085631271,0.4382196296722827,0.4565976622584591
0.4220315876066782,0.24073109503569612,0.21516783189927757
0.5807449605963326,0.4314200476603462,0.36161422614609834
0.5172282622975811,0.4678505955521049,0.4407345311075644
0.4228854514695517,0.3560435451369478,0.3332489474503587
0.20061394519668838,0.16379259465871637,0.15907729342635996
0.40758987854494694,0.3431626211973553,0.30966152670740543
0.2927827331324248,0.2223688279558625,0.1963852523795046
0.5645254885791401,0.5237669049683337,0.5156716206739563
0.6073940224476426,0.49488884307457315,0.3993882781439661
0.3946869233210388,0.3165239686225867,0.2865071520825626
0.5721663018366917,0.5191334630955441,0.4380229650875109
0.3616154388773452,0.29428459972793414,0.26613922963270065
0.411960663040568,0.32395831438435946,0.2676172458468677
0.7063199468015108,0.6550757855972286,0.5867355498018296
0.5685699473069201,0.5178244207691759,0.49384589419729014
0.5388961315894086,0.299687014275835,0.2512252628089995
0.5107969463427207,0.3766772578529366,0.2602660732368428
0.7784359202912365,0.5977960630700987,0.43817314164097015
0.30316836145856446,0.2371804200497233,0.20703515505784836
0.471467162269459,0.29322174184593996,0.22736295631544226
0.7264250097523932,0.6814080214087426,0.6777853910350939
0.7784681587303622,0.7288397597983449,0.6936200230014523
0.41950324506669845,0.3266821087779473,0.3124393887026148
0.5124325165587875,0.41316480411359463,0.3627723844923905
0.3604326216622194,0.2928730816107492,0.2558134293816441
0.6400478220357261,0.5453860628882004,0.5409092654689126
0.6495849427287619,0.552347645583343,0.5097260035856483
0.5311683048644594,0.3994104104893324,0.27645795561809233
0.5820822999852383,0.5521658369563657,0.5134843587986531
0.4035405688921807,0.26699652956743997,0.18971826231783195
0.72532243492183,0.6673524661900785,0.6378822882621653
0.41282109586441035,0.35407417064345553,0.3456181998621194
0.5662596942704664,0.47831292913000306,0.43720922241694615
0.37104654664672115,0.271407233133449,0.21656600997271122
0.5054150471651666,0.3400304395544677,0.251635165972399
0.4912664148227885,0.3042282885734324,0.27360834035705195
0.5270017645239815,0.5160631307466091,0.42781570931641477
0.2593910876380318,0.19595968477075,0.16242786775571313
0.2914616645544985,0.24660910235653183,0.17002108131162094
0.5490913611089177,0.4458236567486259,0.4084146368577137
0.6785254602820424,0.5688108765823491,0.5696897024968106
0.5195544829621316,0.43102793122198946,0.40507972697380845
0.8055581494529582,0.6922661096187742,0.6375264527004465
0.26094328258054955,0.19467843420223777,0.15168175506467196
0.6952986451770606,0.6265883242277207,0.6162567635031114
0.5060153491352204,0.4702360379261848,0.5213470008144687
0.35100373723348344,0.35295229317373716,0.28215587234787237
0.37695133511606466,0.330661585322685,0.3081895741493925
0.6247931787909403,0.5664860707709208,0.5299852855274688
0.4602137236711008,0.4489659444852447,0.410283859961906
0.70944980404284,0.6521680602969645,0.6084884113423008
0.35303768966607524,0.3844260041920017,0.404067803804335
0.4340965455348782,0.3200851539462067,0.28301398077025175
0.5644861758743177,0.4870204405852778,0.47061885675823595
0.5660266477481011,0.3712445250236599,0.22005433036011315
0.5821067567322126,0.3134302911970008,0.2768906985534218
0.4005122778933317,0.32576831577903503,0.3169708600892219
0.46187011244039594,0.4051172205816417,0.35106245363826727
0.5874839060457194,0.5929410956217527,0.6203370988639072
0.5558020094956351,0.5221680198726629,0.4723316375308252
0.43145774339008663,0.4668240185467133,0.563187744946457
0.8064879100800157,0.6797764936301378,0.5583209533684458
0.2534032270778741,0.19037707857086653,0.1551397571707862
0.3964866164999955,0.28353333292908417,0.24013069200466425
0.5792454184023917,0.44125832994780173,0.3422468069796573
0.696091063989761,0.6036623473221803,0.5668855646577854
0.6322277266745985,0.538957778761468,0.43897465593806523
0.7095964434634822,0.6151213438679246,0.5430198220923302
0.46750567457158304,0.3576105960372586,0.2719190057220552
0.6725374986609515,0.634513219781431,0.6162274558312102
0.6060764910025394,0.5255816562270944,0.48550199999597365
0.37052608281743793,0.27999438101185,0.2192125938098353
0.4184129996705668,0.36261018168734727,0.31696863674860115
0.35922504451731696,0.34486994467925763,0.32073831078666004
0.5882207413426385,0.4241620532348403,0.3662849595048736
0.7061173196212966,0.5958501347141106,0.4726402776345066
0.8196622139217492,0.6495486618521219,0.23037558286900758
0.5936569102437493,0.6246693791422421,0.6357908321559755
